time intensity phoneme
0.99 0.0111351 IEE
1 0.05591623 IEE
1.01 0.06742167 IEE
1.02 0.068358 IEE
1.03 0.03812042 IEE
1.04 0.04818025 IEE
1.05 0.08086453 IEE
1.06 0.1112761 IEE
1.07 0.1518715 IEE
1.08 0.1961498 IEE
1.09 0.2786848 IEE
1.1 0.2829493 IEE
1.11 0.2859834 IEE
1.12 0.1923212 IEE
1.13 0.1815181 IEE
1.13 47.1405 T
1.14 0 T
1.15 0 T
1.16 0 T
1.16 0 SSS
1.17 0 SSS
1.18 0 SSS
1.19 41.34367 SSS
1.2 82.32008 SSS
1.21 122.7758 SSS
1.22 81.43211 SSS
1.22 0.1371502 Schwa
1.23 0.09206179 Schwa
1.24 0.0797736 Schwa
1.25 0.1080126 Schwa
1.26 0.1351046 Schwa
1.27 0.1403711 Schwa
1.27 0 T
1.28 0 T
1.29 0 T
1.3 0 T
1.31 0 T
1.32 0 T
1.33 0 T
1.34 0 T
1.35 0 T
1.36 0 T
1.37 0 T
1.38 45.71428 T
1.39 91.04333 T
1.4 135.7994 T
1.4 0.08220196 OHH
1.41 0.2041151 OHH
1.42 0.2764485 OHH
1.43 0.2588909 OHH
1.44 0.2031159 OHH
1.45 0.1431926 OHH
1.46 0.1755593 OHH
1.47 0.1782747 OHH
1.48 0.1631649 OHH
1.49 0.1184452 OHH
1.5 0.059386 OHH
1.51 0.04740803 OHH
1.52 0.05265375 OHH
1.53 0.06121288 OHH
1.54 0.06265399 OHH
1.55 0.05028662 OHH
1.56 0.03305202 OHH
1.57 0.03695789 OHH
1.57 0.03695789 IEE
1.58 0.1056435 IEE
1.59 0.1448952 IEE
1.6 0.1704929 IEE
1.61 0.1045597 IEE
1.62 0.09463111 IEE
1.63 0.1423619 IEE
1.64 0.2312618 IEE
1.65 0.22877 IEE
1.66 0.1661786 IEE
1.67 0.07247021 IEE
1.68 0.0834837 IEE
1.69 0.1121852 IEE
1.7 0.15778 IEE
1.7 0 MMM
1.71 0 MMM
1.72 36.61327 MMM
1.73 73.35309 MMM
1.73 0.07947133 AHH
1.74 0.1103746 AHH
1.75 0.1492148 AHH
1.76 0.1358079 AHH
1.77 0.1568604 AHH
1.78 0.1723672 AHH
1.78 0.1723672 IEE
1.79 0.2398858 IEE
1.8 0.2021522 IEE
1.81 0.1806849 IEE
1.82 0.1047852 IEE
1.83 0.06288221 IEE
1.83 35.95506 TH
1.84 72.03214 TH
1.85 108.2312 TH
1.86 108.0358 TH
1.87 107.3178 TH
1.88 105.9119 TH
1.89 70.15229 TH
1.89 0.1274037 Schwa
1.9 0.1763687 Schwa
1.91 0.1839204 Schwa
1.92 0.167007 Schwa
1.92 0 T
1.93 29.62963 T
1.94 60.00865 T
1.95 91.35195 T
1.96 61.72232 T
1.97 31.3433 T
1.98 35.71429 T
1.99 71.42857 T
2 106.9069 T
2.01 106.281 T
2.01 0.1183039 OHH
2.02 0.1163231 OHH
2.03 0.108664 OHH
2.04 0.1268508 OHH
2.05 0.1422826 OHH
2.06 0.1716868 OHH
2.07 0.1709361 OHH
2.08 0.1917126 OHH
2.09 0.1855213 OHH
2.1 0.1661587 OHH
2.11 0.1166037 OHH
2.12 0.06998227 OHH
2.13 0.0713371 OHH
2.14 0.09618603 OHH
2.15 0.1256828 OHH
2.16 0.1103078 OHH
2.17 0.09579461 OHH
2.18 0.09908605 OHH
2.19 0.09722248 OHH
2.2 0.09347421 OHH
2.21 0.07123835 OHH
2.22 0.05007702 OHH
