time frequency phoneme
0.99 0 IEE
1 0 IEE
1.01 0 IEE
1.02 52.80528 IEE
1.03 105.698 IEE
1.04 156.5783 IEE
1.05 152.5535 IEE
1.06 148.3671 IEE
1.07 145.8993 IEE
1.08 145.2393 IEE
1.09 144.0863 IEE
1.1 142.3917 IEE
1.11 141.4118 IEE
1.12 93.85831 IEE
1.13 47.1405 IEE
1.13 47.1405 T
1.14 0 T
1.15 0 T
1.16 0 T
1.16 0 SSS
1.17 0 SSS
1.18 0 SSS
1.19 41.34367 SSS
1.2 82.32008 SSS
1.21 122.7758 SSS
1.22 81.43211 SSS
1.22 81.43211 Schwa
1.23 40.4557 Schwa
1.24 0 Schwa
1.25 0 Schwa
1.26 0 Schwa
1.27 0 Schwa
1.27 0 T
1.28 0 T
1.29 0 T
1.3 0 T
1.31 0 T
1.32 0 T
1.33 0 T
1.34 0 T
1.35 0 T
1.36 0 T
1.37 0 T
1.38 45.71428 T
1.39 91.04333 T
1.4 135.7994 T
1.4 135.7994 OHH
1.41 134.4686 OHH
1.42 133.1569 OHH
1.43 132.117 OHH
1.44 130.8084 OHH
1.45 86.79114 OHH
1.46 43.07496 OHH
1.47 0 OHH
1.48 0 OHH
1.49 0 OHH
1.5 0 OHH
1.51 0 OHH
1.52 0 OHH
1.53 0 OHH
1.54 0 OHH
1.55 0 OHH
1.56 46.51163 OHH
1.57 91.80601 OHH
1.57 91.80601 IEE
1.58 135.4079 IEE
1.59 131.1315 IEE
1.6 126.9171 IEE
1.61 122.8621 IEE
1.62 118.723 IEE
1.63 115.0335 IEE
1.64 112.2684 IEE
1.65 110.7028 IEE
1.66 109.4313 IEE
1.67 108.3251 IEE
1.68 71.79462 IEE
1.69 35.67558 IEE
1.7 0 IEE
1.7 0 MMM
1.71 0 MMM
1.72 36.61327 MMM
1.73 73.35309 MMM
1.73 73.35309 AHH
1.74 110.1771 AHH
1.75 110.2194 AHH
1.76 109.9677 AHH
1.77 109.4256 AHH
1.78 108.8467 AHH
1.78 108.8467 IEE
1.79 72.35863 IEE
1.8 36.07671 IEE
1.81 0 IEE
1.82 0 IEE
1.83 35.95506 IEE
1.83 35.95506 TH
1.84 72.03214 TH
1.85 108.2312 TH
1.86 108.0358 TH
1.87 107.3178 TH
1.88 105.9119 TH
1.89 70.15229 TH
1.89 70.15229 Schwa
1.9 34.79313 Schwa
1.91 0 Schwa
1.92 0 Schwa
1.92 0 T
1.93 29.62963 T
1.94 60.00865 T
1.95 91.35195 T
1.96 61.72232 T
1.97 31.3433 T
1.98 35.71429 T
1.99 71.42857 T
2 106.9069 T
2.01 106.281 T
2.01 106.281 OHH
2.02 105.7723 OHH
2.03 105.7315 OHH
2.04 105.9246 OHH
2.05 105.655 OHH
2.06 104.2378 OHH
2.07 102.8585 OHH
2.08 101.4513 OHH
2.09 104.8554 OHH
2.1 119.1829 OHH
2.11 138.6801 OHH
2.12 142.1084 OHH
2.13 123.7295 OHH
2.14 70.70343 OHH
2.15 29.85075 OHH
2.16 0 OHH
2.17 0 OHH
2.18 0 OHH
2.19 0 OHH
2.2 0 OHH
2.21 0 OHH
2.22 0 OHH
