Time_s   F0_Hz
0.863490   --undefined--
0.873490   --undefined--
0.883490   --undefined--
0.893490   --undefined--
0.903490   --undefined--
0.913490   --undefined--
0.923490   --undefined--
0.933490   --undefined--
0.943490   --undefined--
0.953490   --undefined--
0.963490   --undefined--
0.973490   --undefined--
0.983490   --undefined--
0.993490   --undefined--
1.003490   --undefined--
1.013490   --undefined--
1.023490   --undefined--
1.033490   --undefined--
1.043490   --undefined--
1.053490   --undefined--
1.063490   --undefined--
1.073490   206.868365
1.083490   206.137647
1.093490   203.682062
1.103490   205.426975
1.113490   208.301485
1.123490   214.937789
1.133490   217.972963
1.143490   211.442052
1.153490   202.651156
1.163490   207.363725
1.173490   210.474529
1.183490   204.484376
1.193490   203.048337
1.203490   203.079920
1.213490   200.706663
1.223490   200.007265
1.233490   --undefined--
1.243490   --undefined--
1.253490   --undefined--
1.263490   --undefined--
1.273490   --undefined--
1.283490   263.826739
1.293490   272.079304
1.303490   --undefined--
1.313490   --undefined--
1.323490   --undefined--
1.333490   --undefined--
1.343490   --undefined--
1.353490   202.791165
1.363490   211.357493
1.373490   213.442750
1.383490   209.904489
1.393490   200.858758
1.403490   190.262139
1.413490   177.941182
1.423490   210.464129
1.433490   211.132902
1.443490   208.701536
1.453490   --undefined--
1.463490   --undefined--
1.473490   --undefined--
1.483490   --undefined--
1.493490   --undefined--
1.503490   --undefined--
1.513490   --undefined--
1.523490   --undefined--
1.533490   --undefined--
1.543490   --undefined--
1.553490   169.561366
1.563490   175.981182
1.573490   174.713610
1.583490   171.563588
1.593490   171.002739
1.603490   170.777371
1.613490   170.900422
1.623490   169.995069
1.633490   168.584713
1.643490   168.704590
1.653490   170.075870
1.663490   170.941343
1.673490   170.446453
1.683490   169.288852
1.693490   170.223594
1.703490   170.630758
1.713490   170.168049
1.723490   170.867879
1.733490   171.933934
1.743490   171.013017
1.753490   170.708053
1.763490   --undefined--
1.773490   --undefined--
1.783490   201.500029
1.793490   188.658381
1.803490   178.219005
1.813490   177.056260
1.823490   166.817450
1.833490   164.788019
1.843490   160.924167
1.853490   159.454542
1.863490   157.808348
1.873490   155.714803
1.883490   153.634035
1.893490   151.336973
1.903490   146.759234
1.913490   148.899920
1.923490   143.642191
1.933490   --undefined--
1.943490   --undefined--
1.953490   --undefined--
1.963490   145.396589
1.973490   145.233317
1.983490   142.738423
1.993490   140.998994
2.003490   140.107683
2.013490   139.710880
2.023490   139.649060
2.033490   139.866113
2.043490   140.722532
2.053490   141.433971
2.063490   141.418777
2.073490   139.990475
2.083490   131.586476
2.093490   129.806826
2.103490   115.205020
2.113490   116.619469
2.123490   138.961849
2.133490   144.683706
2.143490   144.637231
2.153490   144.760065
2.163490   144.316279
2.173490   135.446670
2.183490   136.322777
2.193490   132.672688
2.203490   126.122903
2.213490   119.009176
2.223490   --undefined--
2.233490   --undefined--
2.243490   --undefined--
2.253490   --undefined--
2.263490   --undefined--
2.273490   --undefined--
2.283490   150.413312
2.293490   150.349667
2.303490   149.943027
2.313490   139.414512
2.323490   136.969107
2.333490   135.749370
2.343490   133.216347
2.353490   132.089827
2.363490   131.415040
2.373490   129.788429
2.383490   127.936530
2.393490   127.755068
2.403490   128.363293
2.413490   128.498371
2.423490   128.226618
2.433490   126.650207
2.443490   124.809288
2.453490   122.355624
2.463490   118.587264
2.473490   111.630224
2.483490   108.517370
2.493490   105.470397
2.503490   98.430344
2.513490   95.580803
2.523490   94.225264
2.533490   92.667629
2.543490   91.486352
2.553490   --undefined--
