Time_s   F0_Hz
0.783437   --undefined--
0.793437   --undefined--
0.803437   --undefined--
0.813437   --undefined--
0.823437   --undefined--
0.833437   --undefined--
0.843437   --undefined--
0.853437   --undefined--
0.863437   --undefined--
0.873437   --undefined--
0.883437   --undefined--
0.893437   --undefined--
0.903437   --undefined--
0.913437   --undefined--
0.923437   --undefined--
0.933437   --undefined--
0.943437   --undefined--
0.953437   --undefined--
0.963437   --undefined--
0.973437   --undefined--
0.983437   --undefined--
0.993437   --undefined--
1.003437   --undefined--
1.013437   --undefined--
1.023437   --undefined--
1.033437   --undefined--
1.043437   --undefined--
1.053437   --undefined--
1.063437   228.502916
1.073437   237.791057
1.083437   254.678599
1.093437   260.277338
1.103437   261.091839
1.113437   228.818576
1.123437   228.089920
1.133437   230.575435
1.143437   236.759171
1.153437   229.544314
1.163437   --undefined--
1.173437   --undefined--
1.183437   390.266774
1.193437   391.558369
1.203437   391.451017
1.213437   389.218353
1.223437   385.620377
1.233437   382.143284
1.243437   306.195915
1.253437   255.708841
1.263437   254.171791
1.273437   256.766483
1.283437   258.196138
1.293437   --undefined--
1.303437   --undefined--
1.313437   --undefined--
1.323437   --undefined--
1.333437   --undefined--
1.343437   --undefined--
1.353437   --undefined--
1.363437   --undefined--
1.373437   --undefined--
1.383437   --undefined--
1.393437   --undefined--
1.403437   --undefined--
1.413437   --undefined--
1.423437   243.898773
1.433437   259.223018
1.443437   279.437611
1.453437   287.682027
1.463437   290.913739
1.473437   290.215444
1.483437   287.900180
1.493437   284.550632
1.503437   279.795982
1.513437   276.105962
1.523437   280.219366
1.533437   287.206775
1.543437   296.021462
1.553437   298.815275
1.563437   298.925519
1.573437   289.402725
1.583437   288.307934
1.593437   296.087556
1.603437   298.095076
1.613437   295.846393
1.623437   --undefined--
1.633437   --undefined--
1.643437   --undefined--
1.653437   --undefined--
1.663437   284.643999
1.673437   291.519012
1.683437   296.442786
1.693437   297.758906
1.703437   296.032345
1.713437   294.648810
1.723437   294.626597
1.733437   285.211710
1.743437   276.430271
1.753437   268.356091
1.763437   261.820859
1.773437   251.989423
1.783437   233.799946
1.793437   215.216602
1.803437   212.693673
1.813437   222.597277
1.823437   228.057412
1.833437   221.928257
1.843437   224.670424
1.853437   229.823205
1.863437   232.326579
1.873437   232.943601
1.883437   232.492634
1.893437   232.921559
1.903437   234.074630
1.913437   234.943114
1.923437   235.161120
1.933437   232.284401
1.943437   230.580643
1.953437   229.125785
1.963437   226.865842
1.973437   230.078970
1.983437   231.017459
1.993437   230.352265
2.003438   228.491723
2.013437   232.068284
2.023438   231.875254
2.033438   228.532489
2.043438   221.740660
2.053438   --undefined--
2.063438   --undefined--
2.073437   80.405920
2.083438   80.221522
2.093437   --undefined--
2.103438   --undefined--
2.113437   --undefined--
2.123438   --undefined--
2.133437   --undefined--
2.143438   --undefined--
2.153437   --undefined--
2.163438   188.664427
2.173437   189.816915
2.183438   195.522349
2.193437   196.840394
2.203438   197.219338
2.213437   202.104126
2.223438   207.305917
2.233438   210.379172
2.243438   208.775142
2.253438   207.439504
2.263438   207.642173
2.273438   207.660830
2.283438   206.917347
2.293438   207.064906
2.303438   207.978084
2.313438   208.937892
2.323438   209.114935
2.333438   206.555465
2.343437   201.079357
2.353438   192.104152
2.363437   176.884411
2.373438   156.462853
2.383437   150.270301
2.393438   144.293464
2.403437   134.808284
2.413438   --undefined--
2.423437   --undefined--
2.433438   --undefined--
2.443437   --undefined--
2.453438   101.672038
2.463437   99.178705
2.473438   97.920120
2.483438   97.062287
2.493438   95.933966
2.503438   --undefined--
2.513438   --undefined--
2.523438   --undefined--
2.533438   --undefined--
2.543438   --undefined--
2.553438   --undefined--
2.563438   --undefined--
2.573438   --undefined--
2.583438   --undefined--
2.593437   --undefined--
2.603438   --undefined--
