Time_s   F0_Hz
0.931698   --undefined--
0.941698   --undefined--
0.951698   --undefined--
0.961698   --undefined--
0.971698   --undefined--
0.981698   --undefined--
0.991698   --undefined--
1.001698   --undefined--
1.011698   --undefined--
1.021698   --undefined--
1.031698   --undefined--
1.041698   --undefined--
1.051698   155.024417
1.061698   146.301219
1.071698   145.949176
1.081698   146.278615
1.091698   144.475344
1.101698   134.176063
1.111698   136.569090
1.121698   139.419108
1.131698   146.020425
1.141698   146.065313
1.151698   146.955721
1.161698   --undefined--
1.171698   --undefined--
1.181698   --undefined--
1.191698   178.230355
1.201698   175.863534
1.211698   172.224526
1.221698   170.468957
1.231698   168.491819
1.241698   164.804429
1.251698   155.956268
1.261698   150.748068
1.271698   136.924419
1.281698   138.678043
1.291698   153.323370
1.301698   --undefined--
1.311698   --undefined--
1.321698   --undefined--
1.331698   --undefined--
1.341698   --undefined--
1.351698   134.043337
1.361698   134.579876
1.371698   143.824883
1.381698   144.965229
1.391698   138.164028
1.401698   136.779617
1.411698   137.108897
1.421698   138.472040
1.431698   139.842615
1.441698   139.936837
1.451698   139.301951
1.461698   137.747094
1.471698   134.400486
1.481698   139.494893
1.491698   139.284823
1.501698   138.565676
1.511698   139.020205
1.521698   138.087045
1.531698   --undefined--
1.541698   --undefined--
1.551698   --undefined--
1.561698   --undefined--
1.571698   --undefined--
1.581698   --undefined--
1.591698   175.678287
1.601698   164.208611
1.611698   152.361562
1.621698   151.403007
1.631698   148.829850
1.641698   146.081218
1.651698   145.048237
1.661698   142.275031
1.671698   138.429379
1.681698   135.902702
1.691698   134.293967
1.701698   132.633021
1.711698   131.095036
1.721698   125.243244
1.731698   121.041603
1.741698   116.349098
1.751698   109.687576
1.761698   --undefined--
1.771698   --undefined--
1.781698   --undefined--
1.791698   --undefined--
1.801698   128.867092
1.811698   128.075606
1.821698   128.017797
1.831698   127.389789
1.841698   126.575589
1.851698   125.934960
1.861698   125.717341
1.871698   126.005323
1.881698   125.762643
1.891698   124.439624
1.901698   125.407308
1.911698   118.803044
1.921698   118.435129
1.931698   116.635394
1.941698   124.257745
1.951698   125.241100
1.961698   125.542112
1.971698   125.001099
1.981698   124.297970
1.991698   122.423359
2.001698   117.024807
2.011698   113.844012
2.021698   112.269607
2.031698   110.807204
2.041698   --undefined--
2.051698   --undefined--
2.061698   --undefined--
2.071698   118.846639
2.081698   120.772028
2.091698   121.295766
2.101698   122.290950
2.111698   123.584863
2.121698   125.022666
2.131698   125.725736
2.141698   126.935512
2.151698   128.094227
2.161698   128.656182
2.171698   128.828807
2.181698   127.176478
2.191698   124.515600
2.201698   121.317762
2.211698   117.871955
2.221698   114.027322
2.231698   111.450819
2.241698   108.389544
2.251698   107.222857
2.261698   106.398564
2.271698   105.165399
2.281698   103.883418
2.291698   103.242650
2.301698   102.281874
2.311698   102.750292
2.321698   103.033099
2.331698   102.167859
2.341698   100.726548
2.351698   --undefined--
2.361698   --undefined--
2.371698   --undefined--
2.381698   --undefined--
2.391698   --undefined--
2.401698   --undefined--
2.411698   --undefined--
