Time_s   F0_Hz
0.894958   --undefined--
0.904958   --undefined--
0.914958   --undefined--
0.924958   --undefined--
0.934958   --undefined--
0.944958   --undefined--
0.954958   --undefined--
0.964958   --undefined--
0.974958   --undefined--
0.984958   --undefined--
0.994958   --undefined--
1.004958   --undefined--
1.014958   --undefined--
1.024958   --undefined--
1.034958   --undefined--
1.044958   --undefined--
1.054958   143.908547
1.064958   142.990214
1.074958   135.828265
1.084958   131.833887
1.094958   --undefined--
1.104958   --undefined--
1.114958   --undefined--
1.124958   --undefined--
1.134958   --undefined--
1.144958   --undefined--
1.154958   --undefined--
1.164958   --undefined--
1.174958   --undefined--
1.184958   --undefined--
1.194958   --undefined--
1.204958   --undefined--
1.214958   --undefined--
1.224958   --undefined--
1.234958   --undefined--
1.244958   --undefined--
1.254958   --undefined--
1.264958   --undefined--
1.274958   --undefined--
1.284958   --undefined--
1.294958   --undefined--
1.304958   --undefined--
1.314958   --undefined--
1.324958   162.025210
1.334958   155.281584
1.344958   150.867570
1.354958   146.796111
1.364958   144.011423
1.374958   142.550829
1.384958   141.316774
1.394958   141.062158
1.404958   142.539591
1.414958   144.686730
1.424958   147.054852
1.434958   147.711591
1.444958   143.538617
1.454958   143.336579
1.464958   145.139143
1.474958   144.390101
1.484958   143.825792
1.494958   --undefined--
1.504958   --undefined--
1.514958   --undefined--
1.524958   --undefined--
1.534958   169.820711
1.544958   160.993449
1.554958   155.151115
1.564958   146.945910
1.574958   141.094453
1.584958   139.750321
1.594958   138.783325
1.604958   137.904779
1.614958   138.213476
1.624958   138.850791
1.634958   138.513129
1.644958   136.395427
1.654958   136.005382
1.664958   139.022486
1.674958   139.413549
1.684958   138.373298
1.694958   --undefined--
1.704958   --undefined--
1.714958   --undefined--
1.724958   --undefined--
1.734958   --undefined--
1.744958   --undefined--
1.754958   --undefined--
1.764958   --undefined--
1.774958   --undefined--
1.784958   --undefined--
1.794958   --undefined--
1.804958   --undefined--
1.814958   133.579332
1.824958   135.085926
1.834958   --undefined--
1.844958   --undefined--
1.854958   --undefined--
1.864958   --undefined--
1.874958   148.591055
1.884958   146.424014
1.894958   145.550061
1.904958   143.481192
1.914958   134.041983
1.924958   129.434042
1.934958   125.578171
1.944958   120.914812
1.954958   123.902257
1.964958   109.463303
1.974958   112.449013
1.984958   --undefined--
1.994958   138.745102
2.004958   137.344126
2.014958   135.989214
2.024958   135.067017
2.034958   134.383048
2.044958   134.931472
2.054958   135.358749
2.064958   135.285098
2.074958   135.783661
2.084958   136.461010
2.094958   136.674822
2.104958   136.732999
2.114958   137.794794
2.124958   140.308526
2.134958   143.181448
2.144958   145.855606
2.154958   145.806402
2.164958   146.280580
2.174958   150.895032
2.184958   144.352429
2.194958   142.440102
2.204958   139.115082
2.214958   135.997866
2.224958   134.098074
2.234958   128.151648
2.244958   115.149132
2.254958   115.461988
2.264958   --undefined--
2.274958   --undefined--
2.284958   --undefined--
2.294958   --undefined--
2.304958   --undefined--
2.314958   --undefined--
2.324958   --undefined--
2.334958   446.215959
2.344958   --undefined--
2.354958   --undefined--
2.364958   --undefined--
2.374958   --undefined--
2.384958   --undefined--
