Time_s   F0_Hz
0.750115   --undefined--
0.760115   --undefined--
0.770115   --undefined--
0.780115   --undefined--
0.790115   --undefined--
0.800115   --undefined--
0.810115   --undefined--
0.820115   --undefined--
0.830115   --undefined--
0.840115   --undefined--
0.850115   --undefined--
0.860115   --undefined--
0.870115   --undefined--
0.880115   --undefined--
0.890115   --undefined--
0.900115   --undefined--
0.910115   --undefined--
0.920115   --undefined--
0.930115   --undefined--
0.940115   --undefined--
0.950115   --undefined--
0.960115   --undefined--
0.970115   --undefined--
0.980115   --undefined--
0.990115   --undefined--
1.000115   --undefined--
1.010115   --undefined--
1.020115   --undefined--
1.030115   --undefined--
1.040115   --undefined--
1.050115   --undefined--
1.060115   --undefined--
1.070115   --undefined--
1.080115   199.010693
1.090115   194.264366
1.100115   183.126456
1.110115   184.175999
1.120115   186.601730
1.130115   190.729432
1.140115   192.927778
1.150115   188.167440
1.160115   184.030594
1.170115   184.041235
1.180115   184.469222
1.190115   183.161120
1.200115   --undefined--
1.210115   --undefined--
1.220115   222.282541
1.230115   219.061398
1.240115   219.214582
1.250115   219.340466
1.260115   217.986102
1.270115   215.477337
1.280115   194.516488
1.290115   194.315621
1.300115   191.849822
1.310115   215.378867
1.320115   217.881252
1.330115   --undefined--
1.340115   --undefined--
1.350115   --undefined--
1.360115   --undefined--
1.370115   --undefined--
1.380115   --undefined--
1.390115   --undefined--
1.400115   --undefined--
1.410115   177.610823
1.420115   195.455739
1.430115   196.250481
1.440115   196.797567
1.450115   199.098546
1.460115   206.197669
1.470115   211.329496
1.480115   213.649043
1.490115   213.414846
1.500115   212.238524
1.510115   210.260334
1.520115   210.702057
1.530115   212.343656
1.540115   212.431069
1.550115   212.761238
1.560115   212.314297
1.570115   211.791701
1.580115   301.996451
1.590115   389.784589
1.600115   394.547623
1.610115   --undefined--
1.620115   232.546382
1.630115   229.645176
1.640115   220.954373
1.650115   215.901154
1.660115   214.117850
1.670115   212.356675
1.680115   208.623376
1.690115   208.574824
1.700115   207.624276
1.710115   204.786177
1.720115   201.082748
1.730115   196.661742
1.740115   191.919803
1.750115   185.643747
1.760115   173.755791
1.770115   180.742237
1.780115   183.892440
1.790115   203.494669
1.800115   203.106006
1.810115   201.647259
1.820115   200.071295
1.830115   199.645837
1.840115   198.930307
1.850115   196.549493
1.860115   195.263503
1.870115   196.552686
1.880115   197.996261
1.890115   198.472089
1.900115   197.543501
1.910115   196.696058
1.920115   178.217309
1.930115   177.097853
1.940115   177.307476
1.950115   176.601650
1.960115   193.348844
1.970115   198.647969
1.980115   199.160285
1.990115   198.025750
2.000115   196.851976
2.010115   197.211933
2.020115   175.563315
2.030115   175.425439
2.040115   162.951798
2.050115   171.173515
2.060115   196.088599
2.070115   220.132244
2.080115   196.435613
2.090115   195.302302
2.100115   195.313817
2.110115   199.678168
2.120115   206.636349
2.130115   212.748980
2.140115   217.445869
2.150115   223.656299
2.160115   226.994682
2.170115   230.371923
2.180115   234.515211
2.190115   237.132316
2.200115   239.035074
2.210115   239.839916
2.220115   239.792606
2.230115   240.128813
2.240115   238.543110
2.250115   --undefined--
2.260115   --undefined--
2.270115   --undefined--
2.280115   --undefined--
2.290115   --undefined--
2.300115   137.656240
2.310115   138.723430
2.320115   135.977838
2.330115   135.190446
2.340115   --undefined--
2.350115   --undefined--
2.360115   --undefined--
2.370115   --undefined--
2.380115   --undefined--
2.390115   --undefined--
2.400115   108.368687
2.410115   108.201471
2.420115   109.157162
2.430115   --undefined--
2.440115   422.708990
2.450115   428.020158
2.460115   432.847452
2.470115   430.367528
2.480115   --undefined--
2.490115   --undefined--
2.500115   --undefined--
2.510115   --undefined--
2.520115   --undefined--
2.530115   --undefined--
2.540115   --undefined--
2.550115   --undefined--
2.560115   --undefined--
2.570115   --undefined--
2.580115   --undefined--
2.590115   --undefined--
2.600115   --undefined--
2.610115   --undefined--
2.620115   --undefined--
2.630115   --undefined--
2.640115   --undefined--
2.650115   --undefined--
2.660115   --undefined--
2.670115   --undefined--
2.680115   --undefined--
2.690115   --undefined--
2.700115   --undefined--
2.710115   --undefined--
2.720115   --undefined--
