Time_s   F0_Hz
0.991750   --undefined--
1.001750   --undefined--
1.011750   --undefined--
1.021750   --undefined--
1.031750   --undefined--
1.041750   --undefined--
1.051750   --undefined--
1.061750   --undefined--
1.071750   --undefined--
1.081750   --undefined--
1.091750   --undefined--
1.101750   143.714111
1.111750   141.149542
1.121750   129.999265
1.131750   149.218883
1.141750   --undefined--
1.151750   --undefined--
1.161750   --undefined--
1.171750   --undefined--
1.181750   --undefined--
1.191750   --undefined--
1.201750   --undefined--
1.211750   --undefined--
1.221750   162.846753
1.231750   162.614428
1.241750   161.924581
1.251750   160.905894
1.261750   158.352940
1.271750   154.260791
1.281750   135.106369
1.291750   146.790455
1.301750   159.943192
1.311750   161.386879
1.321750   159.768747
1.331750   --undefined--
1.341750   --undefined--
1.351750   --undefined--
1.361750   --undefined--
1.371750   --undefined--
1.381750   --undefined--
1.391750   --undefined--
1.401750   --undefined--
1.411750   141.144546
1.421750   150.560968
1.431750   147.977215
1.441750   146.631486
1.451750   147.741733
1.461750   147.976871
1.471750   147.278861
1.481750   146.716879
1.491750   146.105075
1.501750   145.296914
1.511750   145.428754
1.521750   146.993320
1.531750   146.998504
1.541750   147.002722
1.551750   146.578175
1.561750   146.567252
1.571750   146.713129
1.581750   145.885284
1.591750   --undefined--
1.601750   --undefined--
1.611750   --undefined--
1.621750   --undefined--
1.631750   --undefined--
1.641750   159.777679
1.651750   154.846731
1.661750   148.679667
1.671750   145.468047
1.681750   142.567113
1.691750   140.595068
1.701750   138.832180
1.711750   137.135613
1.721750   135.848953
1.731750   134.833808
1.741750   133.592028
1.751750   131.790779
1.761750   124.941605
1.771750   111.935446
1.781750   107.857946
1.791750   112.084006
1.801750   --undefined--
1.811750   --undefined--
1.821750   --undefined--
1.831750   119.405819
1.841750   119.137486
1.851750   120.594943
1.861750   121.738945
1.871750   121.647280
1.881750   121.353948
1.891750   121.288761
1.901750   121.843101
1.911750   121.490441
1.921750   120.811073
1.931750   113.482289
1.941750   106.652799
1.951750   105.803316
1.961750   --undefined--
1.971750   --undefined--
1.981750   --undefined--
1.991750   120.022810
2.001750   124.023027
2.011750   121.717087
2.021750   120.340645
2.031750   115.467045
2.041750   114.409856
2.051750   112.801283
2.061750   111.833973
2.071750   112.490944
2.081750   --undefined--
2.091750   --undefined--
2.101750   --undefined--
2.111750   129.338848
2.121750   126.700362
2.131750   125.205919
2.141750   126.004534
2.151750   126.589073
2.161750   126.560742
2.171750   126.897292
2.181750   127.730121
2.191750   129.231500
2.201750   130.840809
2.211750   131.797991
2.221750   132.036300
2.231750   132.351077
2.241750   132.620407
2.251750   131.426948
2.261750   127.962566
2.271750   123.770966
2.281750   120.303268
2.291750   117.404127
2.301750   111.864687
2.311750   110.103954
2.321750   110.815525
2.331750   109.387680
2.341750   108.854995
2.351750   109.275619
2.361750   109.713204
2.371750   110.417431
2.381750   111.577876
2.391750   113.140647
2.401750   113.583525
2.411750   112.807818
2.421750   113.201521
2.431750   113.308254
2.441750   107.597927
2.451750   107.838317
2.461750   --undefined--
2.471750   --undefined--
2.481750   --undefined--
2.491750   --undefined--
2.501750   --undefined--
2.511750   --undefined--
2.521750   --undefined--
