frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-1.620567e+001
1;0.010000;-1.606883e+001
2;0.020000;-1.584352e+001
3;0.030000;-1.586247e+001
4;0.040000;-1.571553e+001
5;0.050000;-1.572874e+001
6;0.060000;-1.578215e+001
7;0.070000;-1.548074e+001
8;0.080000;-1.560596e+001
9;0.090000;-1.583027e+001
10;0.100000;-1.585742e+001
11;0.110000;-1.577948e+001
12;0.120000;-1.616469e+001
13;0.130000;-1.589253e+001
14;0.140000;-1.589568e+001
15;0.150000;-1.613016e+001
16;0.160000;-1.560513e+001
17;0.170000;-1.522842e+001
18;0.180000;-1.480958e+001
19;0.190000;-1.439189e+001
20;0.200000;-1.429782e+001
21;0.210000;-1.458209e+001
22;0.220000;-1.417981e+001
23;0.230000;-1.408123e+001
24;0.240000;-1.401115e+001
25;0.250000;-1.424686e+001
26;0.260000;-1.418396e+001
27;0.270000;-1.419682e+001
28;0.280000;-1.403527e+001
29;0.290000;-1.406397e+001
30;0.300000;-1.426085e+001
31;0.310000;-1.425819e+001
32;0.320000;-1.419795e+001
33;0.330000;-1.427182e+001
34;0.340000;-1.454052e+001
35;0.350000;-1.417756e+001
36;0.360000;-1.437056e+001
37;0.370000;-1.437712e+001
38;0.380000;-1.515865e+001
39;0.390000;-1.554426e+001
40;0.400000;-1.644971e+001
41;0.410000;-1.654020e+001
42;0.420000;-1.522091e+001
43;0.430000;-1.169887e+001
44;0.440000;-1.141006e+001
45;0.450000;-7.018287e+000
46;0.460000;-5.502877e+000
47;0.470000;-5.091073e+000
48;0.480000;-5.455680e+000
49;0.490000;-6.422884e+000
50;0.500000;-6.717702e+000
51;0.510000;-6.680199e+000
52;0.520000;-6.381067e+000
53;0.530000;-6.298013e+000
54;0.540000;-6.082227e+000
55;0.550000;-6.246521e+000
56;0.560000;-6.681661e+000
57;0.570000;-5.520868e+000
58;0.580000;-4.542146e+000
59;0.590000;-3.966839e+000
60;0.600000;-4.136996e+000
61;0.610000;-4.544593e+000
62;0.620000;-5.001814e+000
